Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6,exp_flowrate,Tamb
42899,28.10897147,38.86266915,54.25377197,12.60994908,7.298739592,7.4370775,12.85823581,10.35653399,3.693235984,1.149633416,21.31264668
42909,28.1135088,39.08941775,56.80190711,13.32022009,7.502702356,7.519057277,14.05888656,10.34213067,4.058910151,1.149647877,21.29491083
42919,28.1267156,39.24013752,56.10571815,13.06499915,6.890092924,7.332908947,14.13192499,10.37531392,4.31047821,1.149595456,21.29619441
42929,28.13652958,39.40951241,57.09960587,13.06796094,6.993182502,7.108422746,14.62888764,10.64861414,4.652537896,1.149563874,21.31014646
42939,28.13492319,39.55308541,55.96527014,12.71562593,6.91357196,7.23926118,13.16004965,10.96442121,4.972340212,1.14956523,21.28221397
42949,28.1502699,39.62920455,58.29047744,13.41210654,7.469484846,7.246011311,14.56313767,10.69101721,4.908719873,1.149520889,21.25847411
42959,28.15862267,39.78477105,59.00657978,13.43475096,7.346068395,7.306508918,14.64830022,10.94984277,5.321108514,1.149535513,21.21249297
42969,28.16438616,39.75527373,56.92263806,13.24765828,6.990866353,6.922033039,14.06235993,10.57911728,5.120603186,1.149491029,21.20223798
42979,28.17866922,39.88787254,58.19978705,13.05876515,7.42541882,6.891774137,14.22968709,11.27632466,5.31781719,1.149480159,21.17012199
42989,28.19331894,40.12499508,60.23808891,12.37128489,8.89602477,7.389929317,13.90313928,12.43902558,5.238685067,1.149459034,21.1436048
42999,28.19782499,40.25958592,62.14322311,14.26425797,8.979984756,8.186946527,13.61752921,12.02161495,5.07288969,1.149455187,21.14653821
43009,28.20441129,40.64861615,63.8218629,13.73264485,9.59948961,8.304214042,13.93973717,12.42907088,5.816706355,1.149435008,21.12445561
43019,28.2138881,40.7012862,64.25558729,13.21246049,9.739040699,9.769207493,13.58192044,12.9197594,5.033198767,1.149415902,21.17190553
43029,28.2283971,40.88105396,63.15020102,13.6485729,9.477633258,9.04671451,13.72930231,12.40288065,4.845097393,1.149413342,21.14518674
43039,28.24010627,41.29499627,66.22816001,13.61073728,10.32935956,9.714949839,14.70576018,11.82262738,6.044725773,1.149366034,21.18785871
43049,28.25568449,41.37805513,65.62376044,14.20140739,9.965191164,9.085701206,14.20442272,12.61663201,5.550405959,1.149366948,21.20346648
43059,28.24915959,41.56098649,66.46483738,14.49296186,9.594576328,9.505925904,14.47862043,12.45752712,5.935225737,1.149349354,21.18762786
43069,28.25975467,41.65562354,66.31884074,13.28424933,10.53309381,9.14139689,14.27080537,13.02345436,6.06584097,1.149369193,21.18121125
43079,28.27492216,41.74528373,66.65495191,13.94825987,10.37630354,9.258088547,14.08030971,13.05716034,5.934829902,1.149319925,21.21893433
43089,28.2638963,41.86756275,67.80406754,14.61062438,10.11771017,9.52559582,14.9930262,12.63148226,5.925628719,1.149334026,21.24320256
43099,28.27550514,41.99293378,68.14334635,14.47396936,10.26367583,9.804325267,14.84839466,12.57581751,6.177163727,1.149294326,21.28916454
43109,28.28710105,42.08399361,68.04044722,14.09436436,10.29639896,9.242220917,15.35173513,12.9091462,6.14658166,1.149272895,21.32156132
43119,28.30159079,42.1125474,67.06439988,14.47522249,10.06528149,9.796658098,14.92094623,11.82734516,5.978946407,1.14927167,21.33764864
43129,28.300853,42.23530846,68.79407998,14.35718976,10.15141494,9.666234039,15.15461788,13.15634816,6.308275194,1.149245356,21.38487572
43139,28.30592095,42.36295144,70.24630465,15.07621824,10.21301711,9.970490847,15.24931218,13.09876013,6.63850614,1.149207456,21.40089217
43149,28.30777611,42.28351936,68.55631568,14.64431559,10.16970149,9.4915641,15.14158889,13.09248378,6.016661839,1.149190369,21.40397941
43159,28.3220148,42.30908532,68.36111507,14.20342283,10.05756047,9.881496932,15.1781103,13.13289092,5.907633623,1.14916619,21.41091348
43169,28.3370175,42.55627972,68.94476204,14.18534459,10.34211726,9.683953924,14.87329383,12.88698993,6.973062508,1.149132618,21.42854758
43179,28.34342884,42.62871755,70.06750606,14.57061716,10.18723214,9.582943465,15.24606799,13.53588917,6.944756137,1.149121425,21.39676503
43189,28.34610598,42.46046746,67.75883026,14.48268367,10.55894681,8.705031173,14.9707835,12.79640993,6.244975178,1.149125481,21.36687394
43199,28.36843293,42.59171327,68.62506587,14.13116309,9.726288979,9.123474995,15.37113114,13.87689642,6.39611124,1.149079484,21.32855914
43209,28.37376264,42.69710842,68.75713082,14.26581433,9.528613254,9.35261325,14.89428856,13.73707737,6.978724052,1.14905725,21.28759315
43219,28.3832277,42.90533608,69.93027989,14.19213707,9.3343937,9.669591562,15.76697398,12.98711716,7.980066423,1.149033194,21.23596986
43229,28.3923916,42.54456977,68.96195543,14.98691324,9.604720218,9.905857997,15.3346782,12.89384489,6.235940883,1.149001185,21.23735158
43239,28.39897815,42.74222549,69.1357548,14.14093226,9.712775864,9.842176084,15.22536661,13.32941092,6.885093059,1.14899184,21.22690746
43249,28.4223544,42.98159377,71.15509731,14.8230567,10.0527725,9.824097467,15.57463677,13.13302179,7.74751207,1.14894722,21.23607734
43259,28.44390944,42.77371993,70.5989305,14.98502506,10.6431632,9.739790654,15.44328056,13.20380353,6.583867494,1.148879484,21.27539411
43269,28.46154364,42.98465741,70.74077944,14.56036728,10.14991544,9.822545955,15.43395197,13.5456292,7.22836959,1.14885433,21.27425723
43279,28.47339301,42.93386099,70.52998188,15.05600341,10.22484961,9.975787209,15.39302795,13.42721546,6.453098248,1.148828624,21.31400625
43289,28.4766593,43.52214061,72.97093847,14.64739853,10.33444737,10.04356797,15.5283924,13.3201159,9.097016295,1.148766833,21.32829984
43299,28.49593855,43.18301767,71.47022069,14.81362301,10.7086811,9.91779956,15.63212624,13.30838253,7.089608248,1.148748554,21.30232689
43309,28.51827177,43.11049883,71.35293802,14.87833255,10.06780755,9.981771591,16.31481518,13.57504814,6.535163005,1.148674663,21.32472922
43319,28.5385269,43.54151322,72.26698058,14.93981884,10.89618887,10.11127359,13.91940459,13.914919,8.485375677,1.148591249,21.36014063
43329,28.55905217,43.17937751,71.99455273,14.82800789,10.9521907,10.33325864,15.84517686,13.45109275,6.584825894,1.148520843,21.36558564
43339,28.55884728,43.23224994,71.48521122,14.57082844,10.72043257,10.53361001,15.69647711,13.36174818,6.602114909,1.148446244,21.36656701
43349,28.5940452,43.3926352,71.97973094,14.41636433,10.38878588,10.11036885,16.11655294,13.64486922,7.30278971,1.148379942,21.36758992
43359,28.59816921,43.27676019,70.9824798,14.43319199,11.00134888,10.21102548,15.14766076,13.80566406,6.383588635,1.148317721,21.37412784
43369,28.63034291,43.56270922,71.47774081,14.66455641,10.85736432,10.17555569,14.6850293,13.68285813,7.412376964,1.148231592,21.36812552
43379,28.64355294,43.26767462,70.99608594,14.74679852,10.98751932,10.24658348,15.39021346,13.82531387,5.79965728,1.148101036,21.37311784
43389,28.65629376,43.69294807,72.04198962,14.96785575,10.57559398,10.24435988,14.9572113,13.83073088,7.466237821,1.148002126,21.40544553
43399,28.6656565,43.58959745,72.13836838,14.55408756,10.55320027,10.35121943,15.7080593,14.16246254,6.809339284,1.147927697,21.46131694
43409,28.68435687,43.47039923,70.13851945,15.1255582,8.135115697,10.99626503,15.89642349,13.82319669,6.16196035,1.147813223,21.49558928
