Timestamp,exp_inlet,exp_outlet,sim_outlet
47130,59.96129209,58.64065811,59.24473042
47140,59.87320454,58.57520376,59.26185234
47150,59.7858708,58.49635511,59.22262496
47160,59.68620137,58.42403138,59.05463616
47170,59.58057989,58.326437,58.97432289
47180,59.49566508,58.24394553,58.97956442
47190,59.40527441,58.16181562,58.80015536
47200,59.32216596,58.10921204,59.11277945
47210,59.24607035,58.06272819,59.48463085
47220,59.18180377,58.17544665,59.8525378
47230,59.08811092,59.68823253,61.80041501
47240,58.99935269,61.52824252,63.11441706
47250,58.9324314,62.76619738,64.04563977
47260,58.86034329,63.61205354,64.67816373
47270,58.77309577,64.01136178,64.72531577
47280,58.68451545,64.25040247,64.88377981
47290,58.62180013,64.47826184,65.46388195
47300,58.54614137,64.59078601,65.46694733
47310,58.49093532,64.69480774,65.52641167
47320,58.42298304,64.90263034,65.54242337
47330,58.36106874,64.90091628,65.46937704
47340,58.28728509,64.83381024,65.37454623
47350,58.23635285,64.85963645,65.60297825
47360,58.18123856,64.92162483,65.78964639
47370,58.13305651,64.95266085,65.46860328
47380,58.0694049,65.05139575,65.77435386
47390,58.03114792,65.02533789,65.34223426
47400,57.99412552,65.09730647,65.57250865
47410,57.96598898,64.98813384,65.52895085
47420,57.92268831,65.01709656,65.51148113
47430,57.88385206,64.88089382,65.43427342
47440,57.85434363,64.8610986,65.34527301
47450,57.83513522,64.66984772,65.31991215
47460,57.81851121,64.76217142,65.50155301
47470,57.79063939,64.6821619,65.39611683
47480,57.78648429,64.59331259,65.33966881
47490,57.76479315,64.60013758,65.40314738
47500,57.73500635,64.46219079,65.25042377
47510,57.72868133,64.47425827,65.23348667
47520,57.73392848,64.64128662,65.53114691
47530,57.72786002,64.49988259,65.28961396
47540,57.72340418,64.58597228,65.57766044
47550,57.72242547,64.57692887,65.63004903
47560,57.73622627,64.61870456,65.63638402
47570,57.74093802,64.41342659,65.25299535
47580,57.74935487,64.51527086,65.44883049
47590,57.74389831,64.32046225,65.32607079
47600,57.76124778,64.30034145,65.36508611
47610,57.76031519,64.05377794,64.94126278
47620,57.80025401,64.1568209,65.31835051
47630,57.81389923,64.28585137,65.49107263
47640,57.84689463,64.22127567,65.56404613
47650,57.87242093,64.19855431,65.55433385
