Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate
51908,53.28531092,56.77909724,53.59280217,9.978392566,6.797858021,3.541908098,11.8372007,10.66650484,10.77093795,3.19878726
51918,53.35637924,56.86583741,53.94784772,9.408881444,6.770245336,3.570493956,12.03678193,10.94815195,11.2132931,3.198434081
51928,53.41972449,56.93891748,53.10909846,9.297112295,6.64320025,4.005854175,11.66615309,11.10122115,10.3955575,3.198119884
51938,53.4782096,56.9689681,52.48253853,9.403958048,6.650723085,3.981662215,11.88012792,10.54650401,10.01956325,3.197765329
51948,53.52549647,56.9745582,50.85153268,9.702064794,6.418734508,3.475114394,11.6010243,9.943012968,9.711581712,3.197527616
51958,53.58076715,57.070277,52.80704789,9.422328616,6.985111466,3.547672824,11.50554429,10.76855874,10.57783195,3.19721436
51968,53.64291202,57.15202867,52.77146116,9.252193156,6.650830316,3.819145877,11.91329316,10.03070055,11.1052981,3.196998829
51978,53.70726144,57.18595202,53.24976178,9.88070426,7.011338101,3.971961816,12.1765945,9.987582736,10.22158037,3.196667055
51988,53.77129772,57.27889061,51.96626924,9.740418385,6.740052732,3.478206007,11.37660297,10.2323345,10.39865466,3.196350062
51998,53.82973739,57.26914973,52.28524855,10.07526275,6.416086362,3.413076408,12.04941415,10.17170832,10.15970056,3.196013357
52008,53.89410742,57.44941429,54.70250547,10.28951743,6.532714741,4.064059687,12.13887636,10.28205309,11.39528416,3.19582827
52018,53.95852349,57.48118044,54.96624837,9.710839249,6.552000608,4.362443225,12.2862927,11.67854597,10.37612662,3.195528981
52028,54.00871006,57.54150449,53.63359463,10.23924501,6.632962747,4.115317358,11.68279973,10.38388518,10.57938461,3.19511106
52038,54.06633757,57.59633029,52.75238105,9.747902509,6.555401935,3.469345496,11.28197189,11.09105633,10.60670289,3.194726338
52048,54.13447748,57.69963439,52.7305558,9.626943709,6.987879897,3.50965437,11.69860261,9.808105809,11.09936941,3.194273216
52058,54.1980879,57.72228425,53.91977227,10.36030367,7.215811029,3.928448565,11.34856858,10.22902871,10.83761171,3.194089949
52068,54.2787434,57.82807655,54.21228545,9.793456594,7.179390221,3.669823051,12.16696457,10.5728483,10.82980271,3.193817131
52078,54.33851943,57.89932097,53.63641426,9.922697534,7.327518287,3.806880151,12.07094903,9.458007893,11.05036137,3.193445902
52088,54.40308658,58.28287,63.39005128,11.97838973,10.47885982,2.727801547,13.61493938,12.31332507,12.27673575,3.19318254
52098,54.44946569,59.1338106,73.9749068,14.77814373,13.47227471,2.433921881,15.86139841,13.58733426,13.84183381,3.192890168
52108,54.53232226,59.76719931,79.57462752,15.61104877,13.55672334,2.693806391,17.72047252,15.39614266,14.59643383,3.192597379
52118,54.58044874,60.11043814,83.77469077,16.71782169,13.71726433,2.959442347,18.39126437,15.78925896,16.19963907,3.192160335
52128,54.65606567,60.22104079,81.51707441,15.51165614,13.53850223,3.371407744,17.26078416,17.28201323,14.5527109,3.191820594
52138,54.69816992,60.4192664,81.59034024,16.57141891,13.19676012,3.414691326,17.42722798,14.62446936,16.35577255,3.191615518
52148,54.78779094,60.25495077,73.87665644,13.51578944,9.878733411,4.391069913,15.37934872,14.94599978,15.76571517,3.191234227
52158,54.86264917,59.71432577,65.78991425,11.53042727,8.063527648,4.659948645,14.02763515,12.65720178,14.85117375,3.190865115
52168,54.92170786,59.20987385,59.75779925,10.50337044,6.930402485,4.170978419,12.37172278,12.36149284,13.41983229,3.190588662
52178,54.97420395,58.89205912,55.40079404,9.877080143,7.446953653,3.667393021,11.74169598,10.90199265,11.76567859,3.190311658
52188,55.05041793,58.77051148,55.0191915,10.06400425,7.027274556,4.309936137,12.43201008,10.64309048,10.542876,3.189937833
52198,55.10306118,58.80786427,54.56022818,10.36453439,7.111503756,3.742532391,11.7297294,10.15946858,11.45245967,3.167702543
52208,55.1624276,58.82820698,53.38914181,9.887638664,6.837563801,3.367551234,11.40307097,11.18200315,10.71131399,3.167421277
