Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6
42046.54908,57.85434363,64.8610986,59.16857722,10.98734265,8.481583042,4.402754748,10.90633096,16.26315346,8.127412353
42046.5492,57.83513522,64.66984772,59.1074879,10.91492177,8.345054642,4.897520284,11.35584374,16.60317122,6.99097626
42046.54931,57.81851121,64.76217142,60.47132495,11.202725,8.394418862,5.08494142,11.25542542,16.58035472,7.953459534
42046.54943,57.79063939,64.6821619,59.93193011,10.89494906,8.824912198,4.822556184,10.94375065,16.53266841,7.913093603
42046.54954,57.78648429,64.59331259,59.55551446,11.09390325,8.580233576,5.365285161,11.4171532,15.38663202,7.712307254
42046.54966,57.76479315,64.60013758,60.16746508,10.66123489,8.419869697,4.949966469,11.26572504,16.45608663,8.414582348
42046.54977,57.73500635,64.46219079,59.28280101,11.47153274,8.054130209,5.185385097,11.02458548,16.28239131,7.264776184
42046.54989,57.72868133,64.47425827,59.19699061,11.5676627,8.614841701,4.533102885,11.45589025,16.04996205,6.975531012
42046.55001,57.73392848,64.64128662,61.23093385,10.82600462,8.972959323,5.422069304,11.60979838,16.3081968,8.091905426
42046.55012,57.72786002,64.49988259,59.61308714,10.79601703,8.456966544,5.03803054,11.5840396,16.12516817,7.612865267
42046.55024,57.72340418,64.58597228,61.61086414,11.50526132,8.530302173,5.421735249,11.64525796,16.69218972,7.816117722
42046.55035,57.72242547,64.57692887,61.98423926,11.15942298,9.089459162,4.949392546,11.89066245,16.92520844,7.970093676
42046.55047,57.73622627,64.61870456,61.93498735,11.70651583,8.640680292,5.177021738,11.4704534,16.24015084,8.70016526
42046.55058,57.74093802,64.41342659,59.27874897,10.67285442,8.385640875,4.935642236,11.45987794,16.3880047,7.436728805
42046.5507,57.74935487,64.51527086,60.58320395,10.78262273,8.05996562,5.230718582,11.65452005,16.55237262,8.303004351
42046.55082,57.74389831,64.32046225,59.76624125,10.60313742,8.746855244,4.93265723,10.97153511,16.59039289,7.921663354
42046.55093,57.76124778,64.30034145,59.9280343,10.57266866,8.571040628,4.942924832,11.05491141,16.42058531,8.365903457
42046.55105,57.76031519,64.05377794,57.01816767,9.823249264,8.313103301,4.650543083,11.23778609,16.2469863,6.74649964
42046.55116,57.80025401,64.1568209,59.33451072,10.73852131,8.424459367,5.162700726,11.18761786,16.11026026,7.710951201
42046.55128,57.81389923,64.28585137,60.44466254,10.79279053,8.529507694,4.974350283,11.51212385,15.74267008,8.893220101
42046.55139,57.84689463,64.22127567,60.70903624,11.16793011,8.929143399,4.845908786,11.12002808,16.70463839,7.94138747
42046.55151,57.87242093,64.19855431,60.45218135,11.19300796,9.351508329,4.932900846,11.47862774,16.41925167,7.076884807
42046.55163,57.86835517,64.36370238,61.30327267,11.3438364,8.775011142,5.266839637,11.21834471,16.77521541,7.924025359
42046.55174,57.90240136,64.33693102,59.84734742,10.78156141,8.727741304,4.864864454,11.33325688,16.55147983,7.588443547
42046.55186,57.92129238,64.45729376,60.14516837,11.08972203,8.631080301,4.756308363,10.86367783,16.57942314,8.224956704
42046.55197,57.92452969,64.41077262,61.29532979,10.96645125,8.634025843,5.061688353,11.6154739,17.01204755,8.005642889
42046.55209,57.94339795,64.52797293,61.92392114,11.1540135,8.895438799,5.360855683,11.14274326,16.76793089,8.602939009
42046.5522,57.97437492,64.49254006,62.83137416,11.27937568,8.610513282,5.234115224,11.72975921,17.37366893,8.603941842
42046.55232,58.00197341,64.41093385,60.75549994,10.53652372,8.527091905,5.155517812,11.46149409,17.18180743,7.893064983
42046.55244,58.02365849,64.45788911,62.04836627,11.41302519,8.803708098,5.179405899,11.82039099,16.52314792,8.308688167
42046.55255,58.05793935,64.45981578,61.70692715,10.97158394,9.124951275,5.207552917,11.31583588,16.88852195,8.198481186
42046.55267,58.09528507,64.44261459,61.59811926,11.05355853,8.967600019,5.207103847,11.94603808,16.4858644,7.937954381
42046.55278,58.0972771,64.51115888,61.47568552,11.35884378,8.79458116,5.24908401,11.81969562,16.13703823,8.116442725
42046.5529,58.13225345,64.51646967,61.33135702,10.84255479,8.75014851,5.161408208,11.15578686,17.27263866,8.148819987
42046.55301,58.15287949,64.49334718,62.29036777,11.42684349,8.611363768,4.911554679,12.17717066,17.29574743,7.867687744
42046.55313,58.20523416,64.52697635,60.52849546,10.79414715,8.735214535,4.828295724,11.61229035,16.59413826,7.964409437
42046.55325,58.24619089,64.5465465,62.09628338,10.87735936,8.844287002,5.205227896,12.00051363,17.2066966,7.962198895
