Timestamp,exp_inlet,exp_outlet,sim_outlet
47130,59.96129209,58.64065811,58.11023097
47140,59.87320454,58.57520376,58.2214046
47150,59.7858708,58.49635511,58.22495857
47160,59.68620137,58.42403138,57.99604505
47170,59.58057989,58.326437,57.93855461
47180,59.49566508,58.24394553,58.02172497
47190,59.40527441,58.16181562,57.76531881
47200,59.32216596,58.10921204,58.43091544
47210,59.24607035,58.06272819,59.20865608
47220,59.18180377,58.17544665,59.96189077
47230,59.08811092,59.68823253,63.6672535
47240,58.99935269,61.52824252,66.1663761
47250,58.9324314,62.76619738,67.94228713
47260,58.86034329,63.61205354,69.16721493
47270,58.77309577,64.01136178,69.32112696
47280,58.68451545,64.25040247,69.68681669
47290,58.62180013,64.47826184,70.82457616
47300,58.54614137,64.59078601,70.89713285
47310,58.49093532,64.69480774,71.06058012
47320,58.42298304,64.90263034,71.14114943
47330,58.36106874,64.90091628,71.05917988
47340,58.28728509,64.83381024,70.94501297
47350,58.23635285,64.85963645,71.4126951
47360,58.18123856,64.92162483,71.81283518
47370,58.13305651,64.95266085,71.25134033
47380,58.0694049,65.05139575,71.87403217
47390,58.03114792,65.02533789,71.10020699
47400,57.99412552,65.09730647,71.55502256
47410,57.96598898,64.98813384,71.502175
47420,57.92268831,65.01709656,71.50594061
47430,57.88385206,64.88089382,71.39129976
47440,57.85434363,64.8610986,71.24802447
47450,57.83513522,64.66984772,71.22061422
47460,57.81851121,64.76217142,71.57089984
47470,57.79063939,64.6821619,71.39868454
47480,57.78648429,64.59331259,71.30124377
47490,57.76479315,64.60013758,71.42989541
47500,57.73500635,64.46219079,71.17946052
47510,57.72868133,64.47425827,71.15612665
47520,57.73392848,64.64128662,71.69891418
47530,57.72786002,64.49988259,71.25501682
47540,57.72340418,64.58597228,71.79657475
47550,57.72242547,64.57692887,71.89304063
47560,57.73622627,64.61870456,71.89344705
47570,57.74093802,64.41342659,71.17488959
47580,57.74935487,64.51527086,71.52800095
47590,57.74389831,64.32046225,71.30693719
47600,57.76124778,64.30034145,71.36255057
47610,57.76031519,64.05377794,70.57685957
47620,57.80025401,64.1568209,71.24585162
47630,57.81389923,64.28585137,71.5518023
47640,57.84689463,64.22127567,71.66369247
47650,57.87242093,64.19855431,71.6289397
47660,57.86835517,64.36370238,71.846256
47670,57.90240136,64.33693102,71.47987065
47680,57.92129238,64.45729376,71.57545332
47690,57.92452969,64.41077262,71.88872466
47700,57.94339795,64.52797293,72.0776666
47710,57.97437492,64.49254006,72.34792561
47720,58.00197341,64.41093385,71.80973027
47730,58.02365849,64.45788911,72.19016955
47740,58.05793935,64.45981578,72.12679411
47750,58.09528507,64.44261459,72.13511106
47760,58.0972771,64.51115888,72.10618254
47770,58.13225345,64.51646967,72.08886023
47780,58.15287949,64.49334718,72.37331147
47790,58.20523416,64.52697635,71.94167967
47800,58.24619089,64.5465465,72.40375986
47810,58.27390461,64.64859204,72.33895827
47820,58.28645114,64.53494581,72.29516212
47830,58.30345777,64.68793425,72.14973296
47840,58.35247377,64.63890839,72.66042608
47850,58.37327507,64.61686003,72.21357661
47860,58.41600116,64.68794517,72.4687767
47870,58.47647956,64.75029911,72.51209331
47880,58.51178805,64.7330908,72.56061168
47890,58.55502341,64.72356761,72.70657083
47900,58.58595304,64.76137309,72.58249501
47910,58.60826749,64.74688763,72.53548049
47920,58.64732179,64.80109073,72.60374142
47930,58.6718416,64.67631754,72.58252633
47940,58.70092147,64.88952451,72.53253342
47950,58.732715,64.89816682,72.70488299
47960,58.73688549,65.06387924,73.15590035
47970,58.79451411,64.87288779,72.46873575
47980,58.81778261,65.01956573,72.74413688
47990,58.85196525,64.98645253,73.01832983
48000,58.8959074,65.15039265,73.06242111
48010,58.92002429,65.09088225,73.01232101
48020,58.93743034,65.09144522,73.03314517
48030,58.96757016,65.13048057,72.92067669
48040,59.00040954,65.16302327,72.83780538
48050,59.00759988,65.24279055,73.17268977
48060,59.06280513,65.30078572,73.19538445
48070,59.08248063,65.22810991,72.77050371
48080,59.12482084,65.28917754,73.48546706
48090,59.11354734,65.35320793,73.57804592
48100,59.157477,65.41698021,73.45754841
48110,59.22541064,65.48566042,73.67962672
48120,59.22824871,65.50999955,73.37843036
48130,59.25590472,65.39152302,73.38325912
48140,59.26568713,65.41383056,73.01710532
48150,59.30790379,65.45976483,73.39042648
48160,59.30731967,65.47665679,73.48717401
48170,59.32192408,65.49929495,73.13348968
48180,59.34382741,65.66811389,73.56827628
48190,59.33931555,65.50387899,73.42164936
48200,59.35526097,65.60402566,73.56225733
48210,59.36342334,65.58976748,73.27508281
48220,59.37608769,65.69447896,73.82676664
48230,59.40707645,65.74130555,73.4677873
48240,59.41241822,65.7840468,73.91376872
48250,59.42258649,65.7117536,73.79324106
48260,59.43027533,65.83994745,73.81995422
48270,59.45080833,65.85080275,74.06115926
48280,59.45770665,65.8408849,73.74089921
48290,59.47524924,65.80910587,73.91636781
48300,59.50388976,65.91071238,73.7982563
48310,59.51215887,65.89342619,74.10622491
48320,59.52379633,66.01054604,74.15392657
48330,59.53784359,65.99118564,74.04542915
48340,59.57289078,65.94327381,74.03904887
48350,59.58723848,65.97259898,73.93042298
48360,59.61862275,66.11770847,74.38883879
48370,59.63339498,66.22697453,74.48340922
48380,59.66371048,66.19562511,74.41981973
48390,59.68872477,66.24701586,74.49214159
48400,59.72428541,66.18528598,74.08892357
48410,59.76358688,66.23727031,74.20444866
48420,59.7818018,66.15800859,74.26661528
48430,59.82331918,66.25476403,74.44889624
48440,59.84524002,66.25356706,74.27834269
48450,59.85968355,66.34212018,74.35250074
48460,59.89547884,66.19416738,74.65754957
48470,59.89468025,66.26370422,74.1078071
48480,59.94228016,66.33449879,74.27139346
48490,59.9693764,66.39065613,74.38079788
48500,59.98078957,66.44639378,74.61819803
48510,60.04173172,66.36542701,74.58009149
48520,60.07010975,66.55142812,74.77952233
48530,60.0941215,66.55455979,74.81390892
48540,60.12794746,66.64430811,75.18033751
48550,60.15523774,66.47220381,74.59061355
48560,60.16685589,66.77496118,75.13043793
48570,60.20225831,66.83604446,75.08174253
48580,60.22251919,66.67888277,74.68809501
48590,60.2241176,66.61463052,74.76783328
48600,60.23683602,66.62597902,74.31081563
48610,60.27826141,66.70561823,74.68608857
48620,60.27045967,66.8201173,74.57754407
48630,60.30697479,66.7412157,75.0882613
48640,60.30468016,66.79581272,74.46625764
48650,60.31110171,66.73301604,74.7130151
48660,60.31911914,66.85075892,74.98425376
48670,60.33205467,66.83074553,74.94400471
48680,60.36134061,66.94261161,75.065665
48690,60.37566778,66.84582615,74.78906232
48700,60.38048764,66.86093831,74.94892752
48710,60.38732513,66.87425663,74.69669918
48720,60.39705563,66.96638317,75.0475459
48730,60.38945908,67.03561811,75.16615872
48740,60.39636895,67.01474365,74.99674492
48750,60.42301693,67.04156038,74.90337468
48760,60.45764982,67.1448735,75.00262873
48770,60.44266925,67.04101656,75.0274782
48780,60.45011642,67.10734692,75.16893529
48790,60.47636714,67.19759142,75.27400706
48800,60.47879278,67.18724725,75.09069283
48810,60.51090339,67.11829232,75.43108495
48820,60.52622699,67.26772625,75.31486039
48830,60.53955548,67.08865956,75.58300151
48840,60.55422667,67.15458464,75.04064695
48850,60.56836886,67.14675139,75.30169184
48860,60.60094141,67.18933525,75.26005994
48870,60.62026751,67.26102438,75.31791577
48880,60.64934662,67.23607483,75.53613652
48890,60.64937,67.08627915,74.84566278
48900,60.68128689,67.2453327,75.64137321
48910,60.70103516,67.11880639,74.98056221
48920,60.75098274,67.30548353,75.49570866
48930,60.77084604,67.33269714,75.60622345
48940,60.78868369,67.38073047,75.62203482
48950,60.80110264,67.36199777,75.75617125
48960,60.82861293,67.29607215,75.67502102
48970,60.85431413,67.47780445,75.89720831
48980,60.88231529,67.47910239,76.00446695
48990,60.90810686,67.44886053,75.94784785
49000,60.92111844,67.4157167,75.42944846
49010,60.94094215,67.29867759,75.10704601
49020,60.93218514,67.62225045,75.80885583
49030,60.95874059,67.56500569,75.96214826
49040,60.96310073,67.53532048,75.6803587
49050,60.96740707,67.58776238,76.0224354
49060,60.95865747,67.62560617,76.06783253
49070,60.97215502,67.67468049,75.73110583
49080,60.96720864,67.60906104,75.39857292
