Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI
35559,-5.105870784,0.458795771,-3.218784962,-2.598991745,1.17464647,-0.005795478,-0.915740839,2.046436596,23.28262358,23.61488489,23.66968464,24.65030661,24.26584666,24.44793969,24.13750943,24.42163154,24.56193434,24.5815476,24.58085538,24.57001043,24.46063199,24.46063199,24.94605931,0.96354473
35569,-5.063615288,0.493349149,-3.151198647,-2.587401792,1.17658564,-0.034772715,-0.960176922,2.046443139,23.28048037,23.61460055,23.67352725,24.63755252,24.26116646,24.44902954,24.1399846,24.41833667,24.55887063,24.59163621,24.58748288,24.57456131,24.45987568,24.45987568,24.99212735,0.954189927
35579,-4.990173368,0.489504777,-3.095157311,-2.65502496,1.190107221,0.057954415,-0.97755751,2.046440341,23.27205745,23.61908912,23.67755672,24.63675411,24.26706124,24.45515407,24.13803165,24.41823042,24.56037963,24.58668443,24.59360665,24.58183886,24.46507709,24.46507709,24.69558881,1.003042788
35589,-5.107602502,0.422324241,-3.185969922,-2.626047597,1.261594594,0.08499956,-1.064503379,2.046446835,23.27940002,23.61744316,23.6678864,24.64362612,24.26308759,24.45371957,24.14005926,24.41425732,24.56494467,24.59171085,24.60186336,24.5813275,24.45418111,24.45418111,24.72806969,0.938598588
35599,-5.156587144,0.524055495,-3.172451056,-2.763242064,1.275125392,0.001931826,-1.022006738,2.04646103,23.26924502,23.62411634,23.68671013,24.64848113,24.26955995,24.47011378,24.14006898,24.41519015,24.56749258,24.59402796,24.59425869,24.57972201,24.45765235,24.45765235,24.74976604,0.99160914
35609,-4.947577287,0.4875763,-3.141493806,-2.511992856,1.331128848,-0.023181518,-1.089614255,2.046435146,23.27588594,23.62658678,23.68482419,24.64819191,24.27296355,24.46105537,24.16101627,24.41836252,24.57735608,24.60043015,24.59766128,24.58104796,24.45090154,24.45090154,24.87751151,0.99576683
35619,-5.098500275,0.525976141,-3.240002626,-2.502335186,1.182359075,-0.003863578,-1.060634102,2.046430062,23.27044135,23.61592134,23.67874548,24.65982794,24.27283246,24.45607817,24.15719187,24.43184718,24.57307164,24.59891466,24.59845319,24.57768651,24.45100124,24.45100124,24.68105449,1.033186043
35629,-5.320204394,0.430013251,-3.216922136,-2.527513459,1.174655991,-0.048296095,-1.132141946,2.046468838,23.27089042,23.61064591,23.66200699,24.64389481,24.25966341,24.45306523,24.15117728,24.42998805,24.57028977,24.59128733,24.58551881,24.57744283,24.44221901,24.44221901,24.94656921,0.985372604
35639,-4.876413618,0.529816852,-3.131867463,-2.548716935,1.238401945,0.030908982,-0.994956999,2.04645154,23.27040137,23.61934376,23.68262598,24.64456001,24.27048443,24.4675766,24.16315352,24.42580711,24.57372394,24.59564439,24.59933621,24.57556989,24.45673054,24.45673054,24.54926482,1.025910085
35649,-4.862230921,0.464527423,-3.066016957,-2.490637272,1.217091148,0.044429584,-1.031624847,2.046377529,23.28417891,23.62867281,23.68415876,24.65832036,24.29209684,24.47303167,24.17553497,24.44049331,24.58587,24.60640578,24.61171272,24.57987071,24.45664723,24.45664723,24.71484675,0.986412027
