Timestamp,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out
43138.0,27.35263276,27.07762855,27.006828259999999,27.404414939999999,27.19750127,27.118085449999999,26.730359279999998,26.690289279999998,26.749472600000001,26.574215989999999,26.54220149,26.48531006,26.455135649999999
43148.0,27.36559237,27.363191745613047,27.332744673553112,27.327963401337858,27.297395695864296,27.29247689111353,27.261617954329303,27.256145838967754,27.224593404449998,27.218430062423586,27.185698066965347,27.17693073042609,27.139536688587913
43158.0,27.37492625,27.372510182106971,27.342102521369199,27.337529245151089,27.307253391548262,27.30281025202407,27.272680630041318,27.268401235250487,27.238449520621334,27.23434877985536,27.204584322812916,27.200672877562887,27.171061586981956
43168.0,27.36596137,27.365121537890317,27.33732583409542,27.333374199491121,27.305992767589363,27.302279708992973,27.274988432210325,27.27124210815462,27.243823715706476,27.239890556469014,27.212244535439961,27.208061974167759,27.180163030676727
43178.0,27.38613974,27.381631494566758,27.354331268721428,27.34866315946137,27.321279533742839,27.315540510417208,27.288118290855881,27.282390386436241,27.255040877065159,27.249446072032029,27.222288465642059,27.216927733867948,27.19003795106735
43188.0,27.38234751,27.379947663648032,27.354649023255835,27.35030748818706,27.325081317124006,27.320755420668327,27.295504449711423,27.291123439177603,27.265791506399339,27.261308831054425,27.235856134541994,27.231240593248771,27.20564638582789
43198.0,27.38923363,27.387061963408531,27.356533022558001,27.351067336725315,27.321100884756721,27.316233880925257,27.286891102897794,27.282638346268055,27.253899767227146,27.250216068847433,27.22201603526786,27.218821786195207,27.191068492536296
43208.0,27.4134758,27.409832336165557,27.372805100261505,27.3663129583028,27.329785043712107,27.323802225584036,27.28781085445388,27.282378613289858,27.246963979126903,27.242118346600481,27.207312307791039,27.203080156101251,27.168904899904877
43218.0,27.41858469,27.415445109736627,27.347991317201021,27.344381551796026,27.279650558490726,27.278671555097755,27.216509126846269,27.217942887767929,27.158067116452976,27.161595302901663,27.103665054986028,27.108949369442929,27.052634685645977
43228.0,27.43763634,27.433715241358655,27.006825110764442,27.023051966581878,26.620211317730558,26.660177942541701,26.281267046857067,26.344821503683189,25.98985272690971,26.0771145813457,25.746047747925402,25.856551880099275,25.548219025109276
43238.0,27.43796907,27.434878907854429,26.82816666702988,26.832851974151751,26.237995018645289,26.254611142706931,25.67217633815914,25.701021184781464,25.130852175426082,25.171383329019474,24.612807162620033,24.664627876884033,24.117817824486576
43248.0,27.44670663,27.44308746679555,26.83646177016038,26.830171824378215,26.224362525086637,26.219319769286166,25.615518431793646,25.612503621578323,25.010584507999692,25.008844424526558,24.407976144595455,24.407084530303422,23.807488823715936
43258.0,27.45475325,27.4509428848379,26.90828412105942,26.898331964881947,26.353399030966319,26.341201028637059,25.794113607784023,25.779664455309977,25.230393607822723,25.213675017998302,24.662232207729343,24.643317150383915,24.089913649027853
43268.0,27.45942957,27.455579132308117,27.015197392941712,27.003216319197165,26.558192879131802,26.541472811063958,26.091651586478772,26.070048886610959,25.6153278056833,25.588820525676716,25.129305027351695,25.098133931054655,24.634207857741561
43278.0,27.4595708,27.455909776736775,27.079434429077949,27.069701321814911,26.690893308629132,26.678918986944833,26.297991406647327,26.283945133257273,25.90102217872111,25.884956575312163,25.499996359016389,25.481760134014902,25.094501246830809
43288.0,27.46310038,27.45937157423004,27.119105606459911,27.109118712017693,26.767584866869203,26.75687505736483,26.414659071889798,26.403210861086993,26.060309754560567,26.048159183564117,25.704566911200004,25.691629847189869,25.34719292567727
43298.0,27.47518015,27.470617526627773,27.254091550080872,27.238852547041759,27.015915557828372,26.994227890988398,26.764176069238751,26.735349626227144,26.497904330394707,26.461475543973247,26.216281150074341,26.17238152805081,25.920152843756529
43308.0,27.483164,27.478833495704862,27.295504478999788,27.285960871679361,27.1014802967875,27.090750015423883,26.905221311493346,26.893691371866133,26.707624891619133,26.695709193922106,26.509259339136968,26.496767065335003,26.309400734279137
43318.0,27.48839323,27.48407616724478,27.350163691822328,27.338958941084389,27.202382206361207,27.188595721238279,27.04941908600134,27.03302003829797,26.891192467322742,26.872195060248039,26.727813378556529,26.706354761316206,26.559564358578388
43328.0,27.48954772,27.485673313399548,27.410983650170177,27.399346965927432,27.321495985136366,27.306670184880012,27.22556441031508,27.207509269526582,27.123150612380279,27.101900874751717,27.014351227105514,26.989985933423192,26.899337219835349
43338.0,27.50596422,27.50128894994484,27.451144173477037,27.44037144850196,27.388928173541917,27.376896709632916,27.324284127158517,27.311224436154532,27.257685388997711,27.243767100908965,27.189353137175054,27.174495714121257,27.119001578147127
43348.0,27.53065371,27.525439074018099,27.497919359301029,27.486229060669615,27.457263189670989,27.444607872588602,27.41460948843137,27.400742499562,27.369364392779012,27.35407813750702,27.321299919351816,27.304713688425796,27.270721718478701
43358.0,27.53916384,27.534484035594431,27.540763443281335,27.529586522836688,27.533928876118562,27.520761908253903,27.523016968427132,27.507742458736217,27.507859725094988,27.490497602346064,27.488550655217505,27.469203037480796,27.465306526513313
43368.0,27.5462366,27.541835301829089,27.551922189173027,27.542549505427328,27.552680348432432,27.543371766696286,27.553585348093794,27.544358842189549,27.554628066308531,27.545398686350609,27.555573620751765,27.546134006537894,27.555953877468824
43378.0,27.56103714,27.556148885234702,27.560393935991691,27.550827352146115,27.555430548322626,27.546277896368146,27.55133298565891,27.542637827212154,27.548150537601661,27.539893630193539,27.545831552927165,27.537978176747014,27.54431032043847
