Timestamp,exp_inlet,m6_in,m6_out,air6_in,air6_out,m5_in,m5_out,air5_in,air5_out,m4_in,m4_out,air4_in,air4_out,m3_in,m3_out,air3_in,air3_out,m2_in,m2_out,air2_in,air2_out,m1_in,m1_out,air1_in,air1_out
42958.0,27.22700611,27.212435903708425,27.118038100131312,25.170787801260396,25.170787801260396,27.090642868772843,26.690403785837766,25.171266402858677,25.171266402858677,26.669031523436143,26.249536375069216,25.171638895491121,25.171638895491121,26.234371763378014,26.284799698302436,25.171902225743533,25.171902225743533,26.269142677055754,26.208423011208385,25.172173729651242,25.172173729651242,26.193844321875751,26.147811377849838,25.172425928185678,25.172425928185678
42968.0,27.24717573,27.233692731835532,27.119313614537386,25.344389514920412,25.344389514920412,27.09434278436645,26.701207135576094,25.344825755753337,25.344825755753337,26.6821246354016,26.270884770490124,25.345158312085452,25.345158312085452,26.257861005319526,26.305396277524334,25.345384376122706,25.345384376122706,26.291890156436462,26.243619697016573,25.345618499787932,25.345618499787932,26.230985978715882,26.195083584502356,25.345836980846844,25.345836980846844
42978.0,27.26827588,27.256567280934458,27.165373003718958,25.47943363607196,25.47943363607196,27.143451788671822,26.77941933844874,25.479848458399029,25.479848458399029,26.762521821137447,26.394757163868309,25.480167443792652,25.480167443792652,26.382865307808853,26.441969913468743,25.48039109271194,25.48039109271194,26.429467082838148,26.39184899095007,25.480625942866212,25.480625942866212,26.380000899730039,26.356935549862548,25.480848002929523,25.480848002929523
42988.0,27.26030397,27.249355947203298,27.166804931490486,25.587651660109145,25.587651660109145,27.146272324265443,26.781615319144208,25.588040208537716,25.588040208537716,26.766096101135815,26.394797083616997,25.588333158192782,25.588333158192782,26.384311189707546,26.43378263406586,25.588530289954406,25.588530289954406,26.422792397787916,26.380925348166617,25.588736647340347,25.588736647340347,26.370625056117117,26.340621855790786,25.588929594990908,25.588929594990908
42998.0,27.25619561,27.247108572348868,27.161242717523766,25.867885651035046,25.867885651035046,27.144425889282591,26.794544755885148,25.868203875877484,25.868203875877484,26.782500034355493,26.411885752321346,25.868431189682152,25.868431189682152,26.404819490216848,26.464585864334314,25.868563834815035,25.868563834815035,26.456836092944862,26.428179481447863,25.868709205743762,25.868709205743762,26.420904969670858,26.386201076518791,25.868845334319396,25.868845334319396
43008.0,27.27362731,27.266077279703467,27.195044416083753,26.1201549741407,26.1201549741407,27.181068025416316,26.820257819914101,26.120419446004036,26.120419446004036,26.811158073075486,26.451767283964738,26.120591117196245,26.120591117196245,26.44746111097324,26.506326637388842,26.120671714854037,26.120671714854037,26.501312095663781,26.464375578028189,26.120765595236971,26.120765595236971,26.459907728991755,26.419386338847954,26.120848965804587,26.120848965804587
43018.0,27.27127541,27.265241255264552,27.17673638407987,26.349392070327948,26.349392070327948,27.165978756722932,26.802288636652889,26.349595627796276,26.349595627796276,26.796402444932635,26.427866266955633,26.349706583977259,26.349706583977259,26.426849978834099,26.487724695115201,26.349725121370536,26.349725121370536,26.48593033259554,26.439371904174077,26.34975836459337,26.34975836459337,26.438206685052336,26.405524058628728,26.349779636881944,26.349779636881944
43025.0,27.27433113,27.269650444370647,27.181144525695302,26.559244032597228,26.559244032597228,27.173058016139578,26.80690507987995,26.55939703865085,26.55939703865085,26.80368675326762,26.438728945587247,26.559457590958292,26.559457590958292,26.440298761133192,26.493340644633442,26.559427358677386,26.559427358677386,26.494199957462254,26.455028033073621,26.559410632953863,26.559410632953863,26.45638530369656,26.429074777154536,26.559384503963461,26.559384503963461
43028.0,27.27693341,27.272229356348149,27.187937578931912,26.55827212605865,26.55827212605865,27.179750149486399,26.807140641154916,26.558427043636328,26.558427043636328,26.80390665736736,26.442556244771065,26.55848788893384,26.55848788893384,26.444063676681097,26.502696425867811,26.558458833602195,26.558458833602195,26.503421488559582,26.473205378825011,26.558444644067215,26.558444644067215,26.474313724140803,26.444319394160804,26.558423218890805,26.558423218890805
43038.0,27.28760559,27.282811071979634,27.201619915798204,26.55512120112698,26.55512120112698,27.193213634018989,26.825319418448917,26.55528026133333,26.55528026133333,26.82180815361858,26.465174632964249,26.555346348692137,26.555346348692137,26.466347109032416,26.514011847158237,26.55532361876682,26.55532361876682,26.514549008667739,26.472248888820818,26.55531295906048,26.55531295906048,26.473328946466083,26.445126954103664,26.555292034836665,26.555292034836665
43045.0,27.29087037,27.286017467118981,27.193548279840833,26.549466327810055,26.549466327810055,27.185173421356186,26.819752210260361,26.549624791015219,26.549624791015219,26.816239797215939,26.450445092341731,26.549690899265297,26.549690899265297,26.451735557001768,26.501412223875068,26.549665933818609,26.549665933818609,26.502039650008626,26.461755272888311,26.549653567372502,26.549653567372502,26.462898189134933,26.440740256441444,26.549631458295906,26.549631458295906
43048.0,27.29582057,27.290877751036593,27.204164979901982,26.540676082623492,26.540676082623492,27.19553781664845,26.834155198581293,26.540839322288786,26.540839322288786,26.830341288444039,26.476195551697046,26.540911130337292,26.540911130337292,26.477037023246712,26.531186869595761,26.540894648334074,26.540894648334074,26.531313090407746,26.5053531502403,26.540891740206742,26.540891740206742,26.505815241954991,26.488581988528765,26.540882475641457,26.540882475641457
43058.0,27.30077075,27.29571151947022,27.206131438905029,26.527834100146542,26.527834100146542,27.197311807870399,26.835959615626827,26.528000982993657,26.528000982993657,26.831955347050954,26.473590255161323,26.528076387373165,26.528076387373165,26.474298709254903,26.522179442402837,26.5280624088814,26.5280624088814,26.522255929275559,26.490032650152163,26.528060422873331,26.528060422873331,26.490527103124908,26.469938507459648,26.528050523974496,26.528050523974496
