Timestamp,exp_inlet,m6_in,m6_out,air6_in,air6_out,m5_in,m5_out,air5_in,air5_out,m4_in,m4_out,air4_in,air4_out,m3_in,m3_out,air3_in,air3_out,m2_in,m2_out,air2_in,air2_out,m1_in,m1_out,air1_in,air1_out
43700.0,29.66391366,29.643272219002224,31.224189189265829,25.114123105053238,25.114123105053238,31.16901304671018,32.42186433141422,25.115632926737206,25.115632926737206,32.355886355411577,32.906444895333578,25.117436007280826,25.117436007280826,32.836107234887763,34.537106339366282,25.119355470324546,25.119355470324546,34.452060513699195,35.975435722539331,25.121674471206187,25.121674471206187,35.87742216258048,36.815193737784739,25.124344693558466,25.124344693558466
43701.0,29.66391366,29.64322866266571,31.224145631944435,25.10452240864366,25.10452240864366,31.168883184905376,32.421734468803095,25.106034591423047,25.106034591423047,32.355670988971632,32.906229528727451,25.107840007226205,25.107840007226205,32.835807157638492,34.536806267055688,25.109761779940907,25.109761779940907,34.451676516491588,35.975051736103786,25.11208306515109,25.11208306515109,35.876955029617328,36.814726614948214,25.114755546733456,25.114755546733456
43711.0,30.47785134,30.453403249957912,32.296779616272829,25.097765945094132,25.097765945094132,32.231664414433759,33.658986981024434,25.099544819760396,25.099544819760396,33.581566655440525,34.279625449009878,25.10165711776105,25.10165711776105,34.196610512829217,36.031161823462753,25.103918848477072,25.103918848477072,35.932324636726619,37.608603845321156,25.106609346072858,25.106609346072858,37.495522965960411,38.691237881120642,25.109684748566011,25.109684748566011
43721.0,30.598797,30.574084854044465,32.287187151071336,25.161941092180811,25.161941092180811,32.22272338896061,33.577242454393712,25.163701711895904,25.163701711895904,33.501123165388336,34.116560081103685,25.165777949129506,25.165777949129506,34.035580213637736,35.943784773472046,25.167983580570528,25.167983580570528,35.846293502640613,37.580667168795046,25.170636798931692,25.170636798931692,37.468390608171546,38.673571902116329,25.173689689132026,25.173689689132026
43731.0,30.71592744,30.690748643685527,32.594991022087214,25.177719971688781,25.177719971688781,32.527869380542377,33.872158820963875,25.17955277067632,25.17955277067632,33.793496173453129,34.418783108268087,25.181697862573976,25.181697862573976,34.33519323480639,36.260511005418358,25.183974023863254,25.183974023863254,36.160275218190691,37.893968695493825,25.186701222744293,25.186701222744293,37.77897578353565,38.946167028854532,25.189827104943571,25.189827104943571
43809.0,30.83722551,30.81145698409955,32.630403321491059,25.170689624962712,25.170689624962712,32.562881167520523,33.818358278409718,25.172532887471249,25.172532887471249,33.740099920146648,34.388902709515577,25.17466636420086,25.17466636420086,34.305499305972916,36.197371581423361,25.176936846447376,25.176936846447376,36.097619207163888,37.902172898897163,25.179650152725472,25.179650152725472,37.787013909972522,38.981607791613442,25.182779807742776,25.182779807742776
43811.0,30.83722551,30.811591774873825,32.630538113101316,25.200330309974053,25.200330309974053,32.56328303393537,33.818760142323349,25.202166283194771,25.202166283194771,33.740766375570246,34.389569161166293,25.204292550551774,25.204292550551774,34.306427889050369,36.198300129913299,25.206555902574404,25.206555902574404,36.098807450259109,37.903361080215667,25.209262157010727,25.209262157010727,37.788459372086329,38.983053194914518,25.212384837809878,25.212384837809878
43821.0,31.73095989,31.701639612997262,33.466752377035981,25.294655297734145,25.294655297734145,33.392653136481975,34.740774245557063,25.296674507799914,25.296674507799914,34.655141286943206,35.307387836314852,25.299004872247497,25.299004872247497,35.216638291646881,37.185234674732072,25.301470893148473,25.301470893148473,37.077480366991033,38.82054228587964,25.304396512183107,25.304396512183107,38.697986562489668,39.899009724402163,25.307720886759881,25.307720886759881
43831.0,31.81489375,31.785106701275236,33.652405260695517,25.277430653116223,25.277430653116223,33.576451358697518,34.975913676013995,25.279499999672229,25.279499999672229,34.887975415543806,35.553639855326807,25.281892639998336,25.281892639998336,35.460483773494005,37.375951783494436,25.284423565494077,25.284423565494077,37.26629179916651,39.029778794635234,25.287400233802376,25.287400233802376,38.905146958380023,40.15680370856164,25.290780138584552,25.290780138584552
43841.0,31.90805285,31.877674019989328,33.621362104875125,25.242116034280688,25.242116034280688,33.545353502540856,34.842034346152531,25.24418640649851,25.24418640649851,34.754971709871313,35.482861917582518,25.246554643945274,25.246554643945274,35.390007746882411,37.287573674106568,25.249076814403491,25.249076814403491,37.178371707230518,38.962705197197046,25.252040391887753,25.252040391887753,38.838334860772719,40.055850840006649,25.255412497471831,25.255412497471831
43851.0,32.00765956,31.976709665775054,33.775922777254863,25.217754595332256,25.217754595332256,33.698275925235983,35.073917984208805,25.219869176208967,25.219869176208967,34.984513790576834,35.546597219456352,25.222300655442016,25.222300655442016,35.452926509427243,37.238091566865329,25.224844372834696,25.224844372834696,37.129097249870668,38.939516923231523,25.227801462779667,25.227801462779667,38.815112641119804,40.129048987547208,25.231173593501779,25.231173593501779
43861.0,32.11262474,32.08108336190768,33.942681595355964,25.194408476249276,25.194408476249276,33.863293384728706,35.223701240423395,25.196570029396678,25.196570029396678,35.132707708144508,35.681636437323988,25.199044193693595,25.199044193693595,35.58650968291515,37.532309767643937,25.201626869233564,25.201626869233564,37.420412054659522,39.044806801046377,25.204662198757585,25.204662198757585,38.919211088248694,40.210479959568531,25.208065707431899,25.208065707431899
43871.0,32.22484493,32.193035820883352,34.05433793968033,25.249147301655178,25.249147301655178,33.974419053817066,35.293578276430111,25.251322912075288,25.251322912075288,35.202431342159805,35.921607266986122,25.253800776598887,25.253800776598887,35.824782582947364,37.862393245797598,25.256429200132736,25.256429200132736,37.747977152135249,39.459195428570929,25.259532469775628,25.259532469775628,39.330314340673908,40.626484687664544,25.263024632688808,25.263024632688808
