Timestamp,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out
43700.0,29.66391366,32.008069290000002,33.956560320000001,34.110736279999998,35.626300370000003,35.445650710000002,36.179024560000002,36.076080740000002,38.152260230000003,37.8872541,39.783072799999999,39.655888840000003,40.969368639999999
43701.0,29.66391366,33.17642823683925,34.41032337352889,34.386740529818169,35.620070207886101,35.5954452042063,36.828174704927157,36.802464781731487,38.034544416014434,38.00757945579425,39.238573741284917,39.209824436527583,40.439623184479572
43711.0,30.47785134,33.291303192643362,34.486500271676526,34.462299315876862,35.65682206664944,35.631559617804527,36.82547876437264,36.799185794269235,37.992514433827054,37.965192582228312,39.157929286672221,39.129573169341498,40.321714430623494
43721.0,30.598797,33.39706596120606,34.695275084716933,34.66550782526101,35.956925892306273,35.919877195339687,37.204438915151989,37.160179352599023,38.437993901476382,38.386596087662681,39.657620690573815,39.598926473794172,40.862897867018084
43731.0,30.71592744,33.490877216286137,34.783228034082086,34.758253892983021,36.04870378084528,36.021217296730214,37.309626526961402,37.27966074458493,38.56617629489606,38.533943589362991,39.818819637770851,39.784575024555195,41.068039614082046
43809.0,30.83722551,33.606074478006143,34.88280177292318,34.857051322276114,36.13211961183697,36.104191403197973,37.377535508172954,37.347382624520804,38.618974795004213,38.586590591491607,39.856443822878035,39.821851115457697,41.089992477830187
43811.0,30.83722551,33.707289836910498,34.920600497845861,34.896801647609557,36.110453050335337,36.086635877632752,37.300835275816937,37.277179309150355,38.492080448121143,38.468692280217169,39.684356796451752,39.661238320762152,40.877616102281962
43821.0,31.73095989,33.856189216381601,35.195776297494504,35.161288360331426,36.492329033949765,36.448956658242672,37.77168617467774,37.719749657477529,39.034467753778024,38.974174590400949,40.280921681725324,40.212146137557575,41.510641378027671
43831.0,31.81489375,33.960943695655544,35.393178826288093,35.36222604147649,36.788058616696183,36.7501609922912,38.169649833297974,38.124939487957242,39.538200023045064,39.486779180366277,40.893905413634748,40.835869063839702,42.236934350548125
43841.0,31.90805285,34.055274472844296,35.359768402152355,35.338306995645645,36.646327345770125,36.627818836654413,37.939342927404347,37.923648545331275,39.238459812236314,39.225336858631138,40.54326659611128,40.532675287008111,41.853863061677004
43851.0,32.00765956,34.178462775831633,35.551435051737371,35.519712840900766,36.886996507243687,36.849005290088279,38.210580384124327,38.166508511737774,39.522583087961181,39.472530026414411,40.823037454321955,40.766796830862027,42.111421132931255
43861.0,32.11262474,34.284284760761381,35.598249851581002,35.572519510726544,36.88685535925508,36.86092640784841,38.175460872684987,38.149035359485794,39.463566349257967,39.436676318414257,40.75151754763084,40.724668016356659,42.040413448606877
43871.0,32.22484493,34.386394545646276,35.693038445357082,35.664401965235299,36.968771561950511,36.937441596479836,38.239633367456541,38.205609341092206,39.505568697024259,39.468772822089583,40.766419627524698,40.726786630730267,42.022081368199807
43881.0,32.30544174,34.510997891166852,35.87677180446628,35.844839617295122,37.205451068991529,37.167998425460134,38.523641349964713,38.480670646346567,39.831160127992149,39.782378986078037,41.127379524569001,41.072503195333617,42.411824926554452
43891.0,32.39964509,34.570748582775153,35.920970394139573,35.894661948958891,37.243763790270037,37.215601925218245,38.563185453438521,38.532800855705887,39.87860977864122,39.845830124089723,41.189710351981461,41.154373077960237,42.496172478315358
43917.0,32.46423646,34.744629990905068,36.133765674483755,36.088551036090855,37.469409124891875,37.415621359321811,38.788901289237273,38.727879720271069,40.09548081102826,40.029434211452362,41.393648780418182,41.324615123413245,42.687101671348202
43921.0,32.66586868,34.872118769624642,36.226737100011789,36.198530499422141,37.552571466607979,37.523309093215509,38.876929052425169,38.846769321452221,40.200203571281527,40.169436635380961,41.523018361482492,41.491944726530321,42.84588710831062
43931.0,32.76331219,34.936789801347672,36.264015152364891,36.237154679190404,37.563739039300877,37.535197026257329,38.860350613811022,38.829692619511377,40.153174366842407,40.120268892477092,41.442009410150874,41.406819190411653,42.726802751315887
43941.0,32.85969346,35.090351560315248,36.360861901624922,36.3177005320821,37.59322796001517,37.555900658232908,38.838709805279727,38.808100304870443,40.097604576550118,40.071957899991617,41.365706539459921,41.342411538855814,42.637925390000255
43951.0,32.98942771,35.192840865020798,36.509312812191077,36.477971546142271,37.790657145062681,37.755043015251772,39.063944820883684,39.024082229019143,40.32922243713022,40.285103666231102,41.586410287510219,41.537890111457166,42.835142946164346
43961.0,33.07429262,35.296480194674047,36.611512977679766,36.580401100063916,37.892959266863059,37.858955383182149,39.169194176630668,39.132420013413522,40.440436031466469,40.400961089898445,41.706801660894428,41.664647009748386,42.968311085961254
43971.0,33.18767804,35.437686716818874,36.826334471460761,36.790322017369164,38.172990259056796,38.130478135470632,39.507131425073133,39.458078664472005,40.828660643520095,40.773018455372963,42.137493394532484,42.075267413683619,43.433692293103533
43981.0,33.30283982,35.533974833418171,36.913372902629973,36.883124324501352,38.260642679842967,38.227880516589003,39.603384263067369,39.568007814209828,40.941489631447133,40.903604247202317,42.275275675674486,42.235136944228842,43.605248911044285
43991.0,33.40873363,35.636084353025609,37.008720308850528,36.97730191059312,38.347635242964479,38.313378936667824,39.681447895342181,39.644388030502029,41.010227775484616,40.970397053528352,42.334043663721275,42.2914758675564,43.652967711790815
44001.0,33.50159943,35.75595359877655,37.201847979820926,37.165868767116436,38.605826654495274,38.563352110261071,39.997375303592534,39.948408854172811,41.376482079741855,41.32100195390192,42.743099739786913,42.681101043825599,44.097250548839106
